11,3,9,10,5,7,8,4,6,2,1,12
11,3,10,8,7,6,1,9,12,5,4,2
7,5,4,11,12,3,1,2,9,8,6,10
3,12,8,6,11,2,10,5,9,4,1,7
1,9,3,11,5,2,8,4,7,6,12,10
12,6,3,5,1,8,2,10,11,4,9,7
12,10,9,5,11,8,7,6,3,2,4,1
10,3,8,5,4,11,12,6,1,9,2,7
8,9,5,7,6,12,1,10,4,2,3,11
9,10,7,1,12,8,4,11,6,3,2,5
8,11,1,7,5,4,6,2,9,3,12,10
11,6,5,7,1,4,3,10,8,9,12,2
3,7,12,8,4,10,11,9,5,6,2,1
12,11,7,5,1,6,9,8,3,2,10,4
12,10,4,6,3,5,11,7,1,9,2,8
7,8,2,5,1,12,11,4,6,10,9,3
3,10,1,7,11,5,4,8,6,9,2,12
10,2,4,6,7,1,3,8,12,5,11,9
2,11,6,5,12,3,9,8,10,4,7,1
7,9,2,5,11,1,10,3,6,12,8,4
7,9,4,5,2,1,11,10,12,3,6,8
4,5,10,8,12,11,1,9,2,7,3,6
9,6,4,2,1,10,3,8,11,12,5,7
6,4,12,7,5,1,11,2,8,9,10,3
11,3,8,9,4,10,6,12,2,7,1,5
11,10,4,3,6,5,1,12,2,9,8,7
4,1,10,12,7,11,5,8,6,2,9,3
1,5,9,2,4,10,3,7,8,11,12,6
4,2,5,11,9,3,6,1,10,8,7,12
11,5,3,4,9,10,6,2,7,12,8,1
9,2,11,6,10,1,8,7,12,4,5,3
1,10,4,11,5,9,8,6,12,3,7,2
3,7,10,9,11,12,6,5,4,2,8,1
12,11,3,4,9,5,1,2,6,8,10,7
5,1,7,8,2,4,3,6,12,9,10,11
9,7,4,12,5,10,6,3,2,11,8,1
5,6,9,12,8,10,1,2,11,3,7,4
11,1,8,3,2,9,10,12,5,6,7,4
5,7,2,10,6,11,1,4,9,8,3,12
10,7,12,3,8,4,6,5,2,1,9,11
