1,4,11,12,6,3,5,8,7,10,9,2
3,1,10,11,7,8,2,12,6,4,9,5
3,5,11,6,8,2,10,7,1,4,12,9
7,11,1,2,12,9,8,3,6,5,10,4
2,6,8,3,11,10,9,4,12,5,1,7
10,7,5,12,2,3,9,8,1,11,4,6
3,6,5,1,8,9,11,10,12,4,7,2
4,2,5,6,9,1,11,8,12,3,7,10
3,11,1,7,5,6,4,12,8,2,9,10
4,12,8,7,1,6,2,11,9,5,10,3
9,6,7,1,10,5,2,8,11,4,3,12
4,2,6,1,9,5,11,8,10,3,12,7
5,7,4,2,11,10,6,9,3,8,1,12
5,11,6,4,3,1,12,8,7,2,10,9
7,2,10,5,11,8,12,4,3,1,9,6
1,4,2,9,11,5,6,7,12,8,10,3
7,4,12,2,3,8,11,10,6,9,5,1
8,2,12,10,5,7,6,3,4,11,1,9
2,1,7,4,8,9,10,5,3,11,12,6
7,10,6,3,2,12,8,5,1,4,9,11
2,10,7,8,11,6,1,4,5,9,3,12
3,4,8,6,2,5,12,11,9,10,7,1
4,3,2,9,5,8,12,6,1,11,10,7
9,6,12,1,4,10,8,11,2,7,5,3
12,5,9,1,6,2,8,3,10,7,11,4
12,11,2,8,4,1,6,10,5,9,3,7
1,8,11,7,2,12,5,6,10,9,4,3
12,3,9,5,1,11,8,4,7,6,10,2
5,6,1,10,7,9,3,4,11,12,2,8
1,8,11,6,5,3,10,9,4,12,2,7
12,2,5,11,1,7,6,4,10,8,9,3
7,5,1,10,3,9,12,8,11,4,6,2
4,5,1,9,2,3,7,11,10,8,12,6
8,12,7,11,2,5,9,6,3,4,10,1
1,2,9,5,10,12,3,11,7,6,8,4
11,8,2,10,5,1,6,12,9,4,7,3
8,10,4,5,3,2,11,9,1,6,7,12
4,9,8,7,2,1,10,6,5,12,11,3
9,12,2,3,1,5,4,7,8,11,10,6
3,11,5,4,9,1,7,10,8,6,2,12
7,1,2,10,4,5,9,3,12,6,8,11
2,1,3,5,8,10,9,4,12,6,11,7
6,5,3,12,10,2,8,4,7,11,1,9
11,4,9,3,1,10,12,8,7,6,2,5
10,4,2,12,9,5,1,8,6,11,7,3
